AAPL,Apple Inc.
NIO,NIO Limited
TSLA,"Tesla, Inc."
GE,General Electric Company
C,Citigroup Inc.
CCL,Carnival Corporation & Plc
PTON,"Peloton Interactive, Inc."
F,Ford Motor Company
BAC,Bank of America Corporation
AMD,"Advanced Micro Devices, Inc."
NKLA,Nikola Corporation
INO,"Inovio Pharmaceuticals, Inc."
SIRI,Sirius XM Holdings Inc.
VALE,Vale S.A.
WFC,Wells Fargo & Company
AAL,American Airlines Group Inc.
DKNG,DraftKings Inc.
OXY,Occidental Petroleum Corporation
NCLH,Norwegian Cruise Line Holdings Ltd.
ORCL,Oracle Corporation
PCG,PG&E Corporation
COTY,Coty Inc.
INTC,Intel Corporation
SNAP,Snap Inc.
QRTEA,"Qurate Retail, Inc."
NOK,Nokia Corporation
XOM,Exxon Mobil Corporation
JPM,JPMorgan Chase & Co.
UBER,"Uber Technologies, Inc."
M,"Macy's, Inc."
DAL,"Delta Air Lines, Inc."
MSFT,Microsoft Corporation
MRO,Marathon Oil Corporation
UAL,"United Airlines Holdings, Inc."
T,AT&T Inc.
ABEV,Ambev S.A.
TSM,Taiwan Semiconductor Manufacturing Company Limited
ITUB,Itaú Unibanco Holding S.A.
PFE,Pfizer Inc.
WKHS,Workhorse Group Inc.
GM,General Motors Company
CSCO,"Cisco Systems, Inc."
ET,Energy Transfer LP
SQ,"Square, Inc."
CMCSA,Comcast Corporation
PBR,Petróleo Brasileiro S.A. - Petrobras
NVDA,NVIDIA Corporation
PLUG,Plug Power Inc.
MGM,MGM Resorts International
AM,Antero Midstream Corporation
FCX,Freeport-McMoRan Inc.
NLY,"Annaly Capital Management, Inc."
BA,The Boeing Company
MU,"Micron Technology, Inc."
KGC,Kinross Gold Corporation
KMI,"Kinder Morgan, Inc."
AUY,Yamana Gold Inc.
PINS,"Pinterest, Inc."
BBD,Banco Bradesco S.A.
SCHW,The Charles Schwab Corporation
KR,The Kroger Co.
BP,BP p.l.c.
OPK,"OPKO Health, Inc."
GOLD,Barrick Gold Corporation
HST,"Host Hotels & Resorts, Inc."
WMB,"The Williams Companies, Inc."
PENN,"Penn National Gaming, Inc."
KHC,The Kraft Heinz Company
GFI,Gold Fields Limited
SLB,Schlumberger Limited
MRK,"Merck & Co., Inc."
ROKU,"Roku, Inc."
LYFT,"Lyft, Inc."
WMT,Walmart Inc.
CVS,CVS Health Corporation
LUV,Southwest Airlines Co.
FDX,FedEx Corporation
HBAN,Huntington Bancshares Incorporated
KO,The Coca-Cola Company
VZ,Verizon Communications Inc.
LI,Li Auto Inc.
APPS,"Digital Turbine, Inc."
EPD,Enterprise Products Partners L.P.
MRNA,"Moderna, Inc."
TME,Tencent Music Entertainment Group
APA,Apache Corporation
SPCE,"Virgin Galactic Holdings, Inc."
DVN,Devon Energy Corporation
CVX,Chevron Corporation
OSTK,"Overstock.com, Inc."
